17
RD0001,Do Duy Tien,201230388,20/3/2000,Nam,beshineee@gmail.com,KTX Khu A,21/1/2019,21/1/2023,
RD0002,Tran Hoang Minh,201230005,30/3/2001,Nam,sang@gmail.com,Lavita,8/8/2018,8/8/2022,
RD0003,Nguyen Duy Tan,201230150,25/12/2000,Nu,tantan@gmail.com,Tan Ky Tan Quy,6/7/2016,6/7/2020,
RD0004,Tran Thu Hang,201230107,7/7/1999,Nam,tth123@gmail.com,Le Loi,28/4/2016,28/4/2020,
RD0005,Nguyen Tien Luat,201230210,19/8/2002,Nam,tienluat@gmail.com,Le Dai Hanh,19/10/2017,19/10/2021,
RD0008,Nguyen Van Minh,201230153,20/10/2001,Nam,visao@gmail.com,Hoang Van Thu,19/1/2019,19/1/2023,
RD0009,Duong Hoan Viet,201230158,19/5/1999,Nam,caitrungcotruoc@gmail.com,Quan 7,14/2/2017,14/2/2021,
RD0010,Le Ngoc Nhi,201230321,12/3/2001,Nu,lenhi@gmail.com,Quan 1,18/8/2018,18/8/2022,
RD0011,Tran Minh Nhung,201230015,19/7/1997,Nu,minhnhung@gmail.com,Linh Xuan,11/1/2019,11/1/2023,
RD0012,Pham Nguyen Minh Hoang,201230171,27/6/2000,Nam,helloworld8@gmail.com,KTX Khu A,29/12/2016,29/12/2020,
RD0013,Nguyen Van Minh,201230022,28/2/1998,Nam,vippro852@gmail.com,Quan 9,6/6/2018,6/6/2022,
RD0014,Duong Kim Yen,201230347,14/4/1999,Nu,nanana8@gmail.com,Binh Tan,12/12/2019,12/12/2023,
RD0015,Nguyen Hong Tham,201230469,6/4/1997,Nu,duddududdu@gmail.com,Quan 1,16/8/2018,16/8/2022,
RD0016,Le Ngoc Thanh Tam,201230588,22/9/2000,Nu,tamtamkute@gmail.com,Hoang Dieu,1/11/2019,1/11/2023,
RD0017,Pham Nguyen Minh Anh,201230307,9/11/2001,Nu,minhanh@gmail.com,KTX Khu B,12/2/2017,12/2/2021,
RD0018,Nguyen Thi Hong Hanh,201230610,27/7/2002,Nu,howton@gmail.com,Binh Thanh,28/8/2018,28/8/2022,
RD0019,Pham My Nhan,201230100,5/12/2001,Nu,plmp@gmail.com,KTX Khu B,27/2/2017,27/2/2021,
